,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Coin
0,0.056271,0.063499,0.045818,0.055671000000000005,1017460,-,0.653959,0.724002,0.616733,0.699235,61480800,229598000,1.02,1.02,0.828787,0.8486309999999999,18326800,371624000,,,,,,,,,,,,,,,,,,,POWR
0,0.367782,0.901188,0.352676,0.901141,1290,-,2.07,2.38,1.82,1.94,17391,637899,0.598547,0.845591,0.598547,0.606988,11463,440112,4.81,5.28,4.66,5.02,452885,8658380,13.29,13.48,12.03,12.27,1538680,41315800,,,,,,,XZC
0,0.016186,0.031434,0.014483,0.016156999999999998,330757,-,0.074261,0.076577,0.065149,0.070514,1724110,183334000,0.019312,0.019884,0.018132,0.019278999999999998,5260760,78962400,,,,,,,,,,,,,,,,,,,STORM
0,2320.38,2361.18,1802.54,2078.53,824201,-,886.57,985.99,879.47,905.57,207583,-,249.16,395.71,249.16,350.52,2392730,-,,,,,,,,,,,,,,,,,,,XIN
0,0.156494,0.189448,0.152489,0.189165,2718640,54773000,0.298908,0.323952,0.21627,0.223874,7715660,104618000,0.431075,0.508603,0.415128,0.439356,13254800,150876000,0.371102,0.38631,0.353199,0.381644,8994920,129886000,,,,,,,,,,,,,LINK
0,0.613334,0.886703,0.562984,0.655682,4043320,-,0.41911,0.435976,0.317595,0.389165,784228,31364600,7.91,8.17,6.15,6.56,32482200,591945000,1.43,1.51,1.43,1.51,6320070,107066000,,,,,,,,,,,,,ENG
0,13.74,19.98,13.74,19.98,16871,-,1.88,2.51,1.79,2.26,1752420,56219000,1.92,2.2,1.79,1.98,1130950,57599600,3.77,3.79,3.43,3.69,6491670,112883000,,,,,,,,,,,,,BNT
0,0.058464,0.06089,0.053597,0.060783000000000004,5914220,-,0.047061,0.051969,0.046302,0.050492,735454,29930600,0.551521,0.689144,0.540789,0.607574,23603100,353550000,,,,,,,,,,,,,,,,,,,REQ
0,0.60793,0.985107,0.57708,0.629251,257746,-,1.7,1.93,1.64,1.81,76484,21179200,3.27,3.84,3.21,3.32,291876,41275400,11.34,13.06,10.9,12.71,3499730,146233000,,,,,,,,,,,,,NEBL
0,25.22,51.96,23.46,47.8,303595,-,0.974673,0.98318,0.927986,0.9789200000000001,1375970,102011000,2.07,2.45,2.05,2.32,5107580,216610000,3.88,5.33,3.3,4.68,84506600,405998000,,,,,,,,,,,,,PAY
0,0.8315,1.07,0.796905,1.07,3733,-,1.41,1.6,1.16,1.27,18019,7635030,3.26,3.52,2.21,3.02,75101,18913600,3.11,3.7,3.03,3.28,5308,18452100,16.16,19.3,15.85,18.82,5645940,129295000,,,,,,,SKY
0,10.75,21.8,9.67,11.33,3196,-,5.22,5.72,4.46,4.73,149683,8305310,11.09,12.09,10.92,11.4,302192,22388700,32.69,33.34,30.56,31.73,1384160,80278200,,,,,,,,,,,,,ZEN
0,0.522091,0.57769,0.439085,0.54847,211542,-,0.372337,0.409671,0.346961,0.379295,278076,26115000,0.493482,0.523962,0.493454,0.516659,314177,48608300,1.36,1.85,1.31,1.74,22552800,150782000,,,,,,,,,,,,,STORJ
0,6.8,6.95,6.8,6.95,983921,51998200,8.14,8.62,6.93,8.14,312599,62437100,5.79,7.03,5.56,6.31,176780,44779800,41.11,41.48,26.38,31.55,1854530,363272000,,,,,,,,,,,,,PART
0,0.019958,0.022635,0.019566,0.022581,971989,-,0.016402,0.016883,0.013397,0.014996,193003,23717500,0.154234,0.155071,0.110945,0.122674,12434800,223018000,0.064607,0.069613,0.064018,0.068034,2820380,93420800,,,,,,,,,,,,,CND
